week,a1,a2
202053,0,2
202101,0,3
202102,0,4
202103,0,3
202104,0,2
202105,0,4
202106,0,1
202107,0,2
202108,0,4
202109,0,3
202110,1,5
202111,0,3
202113,0,3
202114,0,1
202115,0,2
202116,0,5
202117,0,3
202118,0,2
202119,0,4
202120,0,1
202121,0,1
202122,0,2
202123,0,3
202124,0,4
202125,1,2
202126,0,3
