行政區,事故,死亡,受傷
北屯區,7041,33,15884
西屯區,9809,24,22120
大里區,4680,22,10396
西區,3836,16,8602
沙鹿區,2669,16,6039
南屯區,5425,15,12236
東區,3428,14,7764
豐原區,3040,14,6747
太平區,4283,13,9677
北區,4982,13,11280
大雅區,2286,13,5011
清水區,1314,12,2980
霧峰區,2125,10,4798
龍井區,1796,10,4043
神岡區,1407,10,3117
潭子區,2091,10,4646
梧棲區,1340,10,2943
烏日區,2045,9,4596
大肚區,843,8,1886
南區,3240,8,7332
新社區,332,7,736
大甲區,1607,7,3609
東勢區,506,6,1117
后里區,995,5,2203
中區,922,4,2055
和平區,83,2,200
大安區,201,2,461
石岡區,213,1,480
外埔區,354,1,779
