行政區,事故,死亡,受傷
中壢區,11146,42,24991
蘆竹區,3760,28,8542
桃園區,9249,23,20780
楊梅區,2769,22,6265
平鎮區,4384,22,9811
龜山區,4787,21,10850
八德區,4587,21,10350
大園區,2003,19,4468
龍潭區,2052,14,4636
新屋區,837,13,1845
大溪區,1781,13,4133
觀音區,1264,10,2805
復興區,68,0,152
