行政區,事故,死亡,受傷
安南區,4025,33,8922
仁德區,2144,18,4955
永康區,7269,17,16462
麻豆區,1023,14,2359
柳營區,416,13,938
中西區,3655,13,8337
北區,4083,12,9190
新化區,807,11,1819
南區,2878,11,6406
新營區,1581,10,3570
白河區,294,10,669
東區,5091,10,11612
善化區,1575,10,3507
學甲區,333,9,730
新市區,1853,8,4132
後壁區,263,7,605
佳里區,1265,7,2795
西港區,461,7,1024
歸仁區,1385,7,3114
將軍區,143,7,313
安定區,877,6,2012
七股區,348,6,786
安平區,1433,6,3211
鹽水區,315,5,699
下營區,284,5,649
官田區,387,5,856
左鎮區,60,5,136
龍崎區,25,5,57
關廟區,402,4,903
北門區,55,4,126
六甲區,284,3,622
大內區,72,2,166
玉井區,139,2,318
山上區,117,2,249
楠西區,58,1,135
南化區,41,1,99
東山區,156,0,345
