行政區,事故,死亡,受傷
頭份市,1830,15,4036
竹南鎮,1762,13,3946
通霄鎮,287,12,649
後龍鎮,447,11,1064
苗栗市,1700,10,3765
公館鄉,322,6,740
三灣鄉,116,5,251
獅潭鄉,53,5,121
苑裡鎮,589,5,1332
銅鑼鄉,240,4,600
頭屋鄉,71,3,186
卓蘭鎮,81,2,167
三義鄉,197,2,493
造橋鄉,98,2,255
泰安鄉,14,2,34
南庄鄉,47,1,106
大湖鄉,84,1,193
西湖鄉,45,1,122
