行政區,事故,死亡,受傷
吉安鄉,1706,18,3905
花蓮市,2999,11,6860
鳳林鎮,129,9,303
玉里鎮,236,8,543
壽豐鄉,388,7,955
富里鄉,79,6,196
豐濱鄉,63,6,161
瑞穗鄉,92,3,210
秀林鄉,176,3,423
光復鄉,100,2,240
新城鄉,463,2,1105
萬榮鄉,8,1,19
卓溪鄉,11,0,25
