行政區,事故,死亡,受傷
臺東市,2855,29,6543
成功鎮,142,8,344
卑南鄉,255,7,608
長濱鄉,88,6,211
太麻里鄉,172,5,414
鹿野鄉,133,4,304
池上鄉,123,3,292
關山鎮,98,3,226
海端鄉,69,3,174
綠島鄉,76,2,210
蘭嶼鄉,81,2,213
東河鄉,93,2,212
延平鄉,10,1,27
達仁鄉,42,1,94
金峰鄉,8,0,17
大武鄉,40,0,98
