行政區,事故,死亡,受傷
三民區,4284,33,9777
鳳山區,4844,25,10912
大寮區,2239,24,5106
楠梓區,1985,21,4567
前鎮區,2954,17,6619
左營區,2562,16,5794
橋頭區,765,15,1719
岡山區,1677,14,3794
苓雅區,2473,14,5606
燕巢區,644,11,1492
仁武區,1786,10,4111
大樹區,406,9,900
小港區,1423,8,3198
鳥松區,802,8,1814
阿蓮區,214,8,474
林園區,506,8,1141
梓官區,383,8,863
美濃區,242,7,532
旗津區,212,6,489
湖內區,334,6,765
旗山區,385,6,876
六龜區,81,6,184
茄萣區,171,6,379
大社區,667,5,1516
前金區,849,4,1927
鼓山區,1490,4,3420
路竹區,630,3,1491
新興區,1058,2,2405
杉林區,35,2,81
內門區,72,2,162
桃源區,28,2,74
永安區,147,2,321
田寮區,59,1,168
甲仙區,10,1,27
茂林區,9,1,20
那瑪夏區,2,1,4
彌陀區,138,1,310
鹽埕區,254,0,570
