行政區,事故,死亡,受傷
斗六市,2981,24,6612
虎尾鎮,2099,22,4747
西螺鎮,801,14,1790
麥寮鄉,677,12,1498
土庫鎮,410,10,917
莿桐鄉,315,10,695
東勢鄉,162,10,363
斗南鎮,908,8,2044
元長鄉,235,8,517
四湖鄉,223,8,505
口湖鄉,180,8,396
崙背鄉,273,6,615
北港鎮,786,5,1769
古坑鄉,386,5,911
二崙鄉,234,5,518
水林鄉,233,5,523
大埤鄉,220,4,524
褒忠鄉,165,4,366
臺西鄉,197,4,434
林內鄉,143,2,316
