行政區,事故,死亡,受傷
萬華區,1684,15,3878
北投區,1867,15,4277
中正區,2220,12,5152
士林區,2182,12,5055
大安區,2526,10,5790
中山區,3415,10,7973
南港區,976,9,2292
信義區,2192,8,4965
文山區,1900,6,4449
松山區,1390,5,3264
內湖區,2243,4,5140
大同區,1635,3,3875
