行政區,事故,死亡,受傷
中壢區,5675,27,7622
桃園區,5237,21,6926
大園區,1215,15,1490
龜山區,2781,15,3682
蘆竹區,2209,14,2858
八德區,2750,12,3665
楊梅區,1530,12,1956
新屋區,433,11,519
龍潭區,1262,9,1600
平鎮區,2476,9,3221
觀音區,694,9,848
大溪區,1079,8,1395
復興區,68,0,82
