行政區,事故,死亡,受傷
北屯區,2333,16,3154
大里區,1130,15,1540
西屯區,2686,10,3588
南屯區,1692,10,2179
太平區,1106,10,1408
豐原區,1419,10,1859
梧棲區,622,10,800
南區,921,10,1195
清水區,696,9,906
北區,1695,8,2292
烏日區,704,8,902
龍井區,681,7,920
沙鹿區,978,7,1306
霧峰區,551,6,756
西區,1578,6,2131
后里區,448,6,603
東區,943,5,1273
神岡區,679,5,889
大甲區,763,5,999
新社區,114,5,135
潭子區,967,4,1292
和平區,10,4,11
大肚區,308,4,405
中區,345,3,465
東勢區,194,3,247
外埔區,144,2,192
大雅區,1008,2,1354
大安區,82,1,111
石岡區,68,1,84
