行政區,事故,死亡,受傷
苑裡鎮,316,14,407
竹南鎮,879,9,1180
頭份市,858,7,1090
銅鑼鄉,121,7,156
苗栗市,922,5,1196
三灣鄉,46,5,60
通霄鎮,134,5,175
獅潭鄉,22,4,22
公館鄉,138,4,175
後龍鎮,212,4,290
造橋鄉,52,3,74
南庄鄉,15,3,15
西湖鄉,15,3,19
卓蘭鎮,51,2,57
大湖鄉,62,1,71
三義鄉,68,1,84
頭屋鄉,46,0,64
泰安鄉,3,0,6
