行政區,事故,死亡,受傷
臺東市,1492,11,1784
卑南鄉,138,10,151
太麻里鄉,94,4,122
東河鄉,66,3,89
鹿野鄉,69,3,72
關山鎮,81,3,83
大武鄉,29,2,38
成功鎮,79,2,97
池上鄉,66,2,67
達仁鄉,17,1,20
長濱鄉,40,1,41
蘭嶼鄉,25,0,31
金峰鄉,7,0,7
海端鄉,12,0,13
延平鄉,4,0,4
綠島鄉,15,0,20
