行政區,事故,死亡,受傷
二崙鄉,85,10,96
斗六市,1521,9,1994
虎尾鎮,1097,9,1460
北港鎮,409,8,527
口湖鄉,110,8,149
麥寮鄉,397,8,493
斗南鎮,498,7,602
東勢鄉,103,7,120
西螺鎮,357,7,458
水林鄉,135,6,167
土庫鎮,204,5,260
褒忠鄉,66,4,78
四湖鄉,106,4,128
元長鄉,108,3,122
崙背鄉,99,3,121
大埤鄉,102,2,134
莿桐鄉,156,1,197
臺西鄉,135,1,169
古坑鄉,195,1,240
林內鄉,82,0,110
