行政區,事故,死亡,受傷
萬華區,956,10,1356
士林區,1451,9,2037
大安區,1542,9,1985
北投區,1419,9,1871
中山區,1918,8,2531
信義區,1314,8,1702
大同區,921,7,1312
文山區,1192,7,1556
中正區,1326,6,1759
內湖區,1528,4,1984
松山區,714,3,945
南港區,662,2,906
