行政區,事故,死亡,受傷
安南區,2053,20,2808
永康區,3810,13,5162
中西區,1650,11,2297
東區,2880,10,3929
南區,1468,10,1994
七股區,177,10,241
仁德區,1127,9,1391
歸仁區,729,9,886
佳里區,671,9,876
新營區,884,8,1163
北區,2265,8,3083
善化區,835,8,1092
麻豆區,566,8,752
玉井區,68,7,90
西港區,261,7,345
東山區,106,7,138
鹽水區,190,6,244
後壁區,137,5,163
學甲區,162,4,189
安定區,394,4,508
安平區,774,4,985
新化區,540,3,730
柳營區,213,3,280
官田區,229,3,305
新市區,781,3,1034
龍崎區,27,3,30
下營區,178,3,232
左鎮區,34,2,45
白河區,173,2,213
將軍區,69,1,86
關廟區,246,1,306
山上區,91,1,119
六甲區,185,1,235
北門區,53,1,65
大內區,39,0,57
南化區,14,0,21
楠西區,29,0,37
