行政區,事故,死亡,受傷
新莊區,2869,17,3992
五股區,1093,15,1448
三重區,3620,15,5113
板橋區,3671,14,5210
樹林區,887,10,1212
新店區,1647,10,2103
永和區,1521,10,2126
泰山區,906,9,1156
淡水區,1376,8,1846
鶯歌區,626,7,796
中和區,2841,7,3755
土城區,1449,6,1995
八里區,436,5,540
三峽區,784,5,993
林口區,722,4,891
汐止區,1198,4,1561
坪林區,149,4,175
蘆洲區,1306,3,1778
石碇區,91,2,104
貢寮區,58,2,80
三芝區,98,2,124
瑞芳區,166,1,226
石門區,40,1,55
深坑區,119,1,157
金山區,70,1,95
萬里區,55,0,65
平溪區,18,0,23
雙溪區,21,0,33
烏來區,16,0,17
