行政區,事故,死亡,受傷
吉安鄉,890,13,1182
花蓮市,1438,6,1900
秀林鄉,89,4,124
玉里鎮,122,4,149
豐濱鄉,29,3,43
瑞穗鄉,55,3,72
新城鄉,211,3,269
鳳林鎮,81,2,108
壽豐鄉,166,2,243
富里鄉,44,2,50
光復鄉,48,0,56
萬榮鄉,8,0,10
卓溪鄉,8,0,14
