行政區,事故,死亡,受傷
鳳山區,3650,22,5193
楠梓區,1525,15,2180
大寮區,1360,13,1931
前鎮區,1980,13,2813
三民區,3248,12,4581
林園區,518,11,751
岡山區,1192,10,1607
左營區,1791,10,2446
旗山區,255,9,349
大社區,466,9,648
苓雅區,1560,8,2153
鳥松區,664,8,875
路竹區,435,8,611
小港區,1054,7,1517
美濃區,139,7,179
仁武區,1320,7,1772
鼓山區,1126,7,1540
阿蓮區,178,6,232
大樹區,314,5,420
橋頭區,614,5,832
燕巢區,374,4,494
湖內區,243,4,327
梓官區,233,4,325
六龜區,70,3,88
田寮區,39,2,63
甲仙區,16,2,26
前金區,399,1,529
新興區,715,1,987
彌陀區,115,1,164
杉林區,25,1,34
內門區,61,1,83
永安區,111,1,139
鹽埕區,192,0,262
桃源區,16,0,25
茄萣區,175,0,257
旗津區,135,0,201
茂林區,2,0,5
那瑪夏區,1,0,1
