發生時間,發生地點,死亡受傷人數,車種
102年01月09日 21時40分,彰化縣溪湖鎮國道一號209公里200公尺處北向外側車道,死亡1;受傷1,自用-小客車;營業用-半聯結車;其他人-人;自用-小客車
102年01月09日 22時50分,臺南市安南區本田路三段本田高幹32-1號電桿處(附近),死亡1;受傷2,自用-小客車;自用-小客車;自用-小客車
102年01月10日 03時08分,宜蘭縣壯圍鄉國道五號40公里500公尺處南向內側車道,死亡1;受傷0,自用-小客車;自用-半聯結車
102年01月10日 17時50分,臺南市善化區文昌里中正路223巷53號前(附近),死亡1;受傷1,營業用-半聯結車;普通重型-機車;普通重型-機車
102年01月10日 17時50分,新北市五股區成泰路一段98巷前0.0公尺數1613號路燈前(附近),死亡1;受傷0,自用-大貨車;普通重型-機車
102年01月10日 18時50分,桃園縣蘆竹鄉外社村山林路二段654號,死亡1;受傷0,自用-小客車;行人-人
102年01月10日 23時24分,臺南市北區林森路三段東豐路(口),死亡1;受傷0,自用-小客車;普通重型-機車
102年01月10日 23時30分,臺北市中山區北安路112號忠烈祠前,死亡1;受傷1,自用-小客車;普通重型-機車
102年01月11日 01時54分,新竹市北區中華路三段振興路口(附近),死亡1;受傷1,自用-小貨車;腳踏自行車-慢車;腳踏自行車-慢車
102年01月11日 06時25分,新竹市北區中華路三段中山路(口),死亡1;受傷2,腳踏自行車-慢車;普通重型-機車;普通重型-機車
102年01月11日 09時05分,高雄市杉林區桐竹路242-1號前,死亡1;受傷0,普通重型-機車;自用-小客車
102年01月11日 10時27分,彰化縣埤頭鄉彰化縣埤頭鄉合興村彰水路與斗苑西路口,死亡1;受傷0,營業用-大貨車;腳踏自行車-慢車
102年01月11日 18時40分,雲林縣東勢鄉東北村康南路與信一路口(附近),死亡1;受傷0,自用-小貨車;電動自行車-慢車
102年01月12日 00時40分,臺南市南區明興路灣裡高幹24號電桿南側(附近),死亡1;受傷0,普通重型-機車
102年01月12日 00時58分,臺中市南屯區永春南路培德路(口),死亡1;受傷0,普通重型-機車
102年01月12日 01時30分,新竹市東區經國大橋往竹北(附近),死亡1;受傷0,普通重型-機車;動力機械-其他車
102年01月12日 05時10分,臺北市中正區忠孝西路公園路(口)忠孝西路 公園路,死亡1;受傷0,計程車-小客車;行人-人
102年01月12日 05時30分,新竹縣竹北市中華路456號,死亡1;受傷0,自用-小客車;行人-人
102年01月12日 06時14分,臺中市梧棲區臺灣大道路八段446號,死亡1;受傷4,自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車
102年01月12日 06時45分,新北市三芝區淡金公路前0.0公尺數16公里處(臺2(附近),死亡1;受傷0,普通重型-機車
102年01月12日 13時05分,桃園縣龜山鄉民生北路與春日路口(國門大橋前)(附近)台4線10公里900公尺處西向內側車道,死亡1;受傷0,營業用-大貨車;普通重型-機車
102年01月12日 14時00分,高雄市鼓山區九如四路916號前,死亡2;受傷2,自用-小貨車;普通輕型-機車;普通輕型-機車;普通輕型-機車;普通輕型-機車
102年01月12日 14時28分,臺南市麻豆區南勢里171甲線3公里000公尺處西向內側車道,死亡1;受傷0,普通重型-機車;營業用-曳引車
102年01月12日 16時33分,臺中市梧棲區文化路一段一巷梧南路(口),死亡1;受傷0,普通重型-機車;自用-小客車
102年01月12日 22時24分,苗栗縣頭份鎮頭份里中正路231巷,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車
102年01月13日 01時50分,臺南市永康區龍潭里中山北路316號前旁公尺數,死亡1;受傷1,普通重型-機車;自用-小貨車;自用-小貨車;普通重型-機車
102年01月13日 02時30分,彰化縣彰化市彰化縣彰化市金馬東路與彰興路口,死亡1;受傷0,自用-小客車
102年01月13日 11時30分,臺北市大同區延平北路南京西路(口)延平北路 南京西路,死亡1;受傷0,計程車-小客車;普通重型-機車
102年01月13日 18時00分,宜蘭縣南澳鄉台9線124公里500公尺處北向外側車道,死亡1;受傷0,自用-小貨車
102年01月13日 19時12分,宜蘭縣五結鄉光榮北路五結路(口)196線16公里100公尺處東向中內車道,死亡1;受傷2,自用-小客車;民營公車-大客車;自用-小客車;自用-小客車
102年01月13日 19時30分,桃園縣大園鄉溪海村14鄰三界壇2之13號前(附近),死亡1;受傷0,自用-小客車;行人-人
102年01月14日 16時36分,彰化縣埔心鄉彰化縣埔心鄉舊館村員鹿路5段8-1號前,死亡1;受傷0,自用-大貨車;普通重型-機車
102年01月14日 22時00分,屏東縣屏東市崇蘭里廣東路1532號,死亡1;受傷0,行人-人;自用-小客車
102年01月15日 09時54分,宜蘭縣冬山鄉三中路三城路(口),死亡1;受傷0,自用-小貨車;普通重型-機車
102年01月15日 23時50分,臺南市新營區土庫里臺1線288公里100公尺處南向外側車道,死亡1;受傷0,自用-小客車;自用-大貨車
102年01月16日 07時15分,宜蘭縣宜蘭市七張路9號,死亡1;受傷0,普通重型-機車;自用-小客車
102年01月16日 07時40分,臺中市豐原區豐原大道一段770巷豐原大道(口),死亡1;受傷0,普通重型-機車;營業用-大貨車
102年01月16日 12時21分,臺中市神岡區三民南路神岡路(口),死亡1;受傷1,救護車-特種車;普通重型-機車;普通重型-機車
102年01月16日 17時59分,臺南市下營區開化里中營275號前(附近),死亡1;受傷0,自用-小貨車;腳踏自行車-慢車
102年01月16日 18時20分,花蓮縣瑞穗鄉特一號道路近七賢路口(附近)台9線270公里0公尺處南向外側車道,死亡1;受傷0,營業用-曳引車;普通重型-機車
102年01月17日 04時23分,苗栗縣苗栗市經國路南下車道靠近經國路與中正路口200公尺處(附近),死亡1;受傷0,普通輕型-機車
102年01月17日 05時13分,新北市五股區成泰路三段17號前0.0公尺數,死亡1;受傷0,普通重型-機車;自用-小客車;普通輕型-機車;自用-小客車
102年01月17日 06時13分,桃園縣平鎮市平安里中豐路南勢二段96-1號,死亡1;受傷0,行人-人;自用-小客車
102年01月17日 10時25分,臺南市柳營區神農里165線27公里600公尺處北向內側車道,死亡1;受傷2,自用-小客車;自用-小客車;自用-小客車
102年01月17日 15時50分,高雄市燕巢區滾水路海峰路口以南20公公尺處,死亡1;受傷0,普通重型-機車;自用-小客車
102年01月17日 21時14分,桃園縣中壢市三光路中壢高中旁第012號停車格(附近),死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車
102年01月17日 23時35分,臺南市北區長榮路五段401巷和緯路(口),死亡1;受傷2,自用-小客車;自用-小客車;自用-小客車
102年01月18日 13時10分,臺南市佳里區興化里臺19線121公里300公尺處南向路口車道,死亡1;受傷2,自用-小客車;普通重型-機車;普通重型-機車;行人-人
102年01月18日 15時39分,雲林縣林內鄉重興(東興橋前)(附近),死亡1;受傷0,普通重型-機車;拼裝車-其他車
102年01月19日 05時30分,高雄市美濃區五福街59號前,死亡1;受傷0,自用-小客車;行人-人
102年01月19日 06時15分,嘉義縣六腳鄉豐美村台19線74公里600公尺處南向內側車道,死亡1;受傷0,電動輔助自行車-慢車;自用-小客車;自用-小貨車
102年01月19日 10時31分,彰化縣線西鄉彰化縣線西鄉沿海路1段728巷與中正路口,死亡1;受傷0,普通輕型-機車;自用-小貨車
102年01月19日 13時20分,高雄市仁武區澄觀路一段新庄巷口,死亡1;受傷1,普通重型-機車;普通重型-機車
102年01月19日 14時40分,臺南市關廟區埤頭里保東路與保東ㄧ街口(附近),死亡1;受傷0,普通輕型-機車;自用-小客車
102年01月19日 17時05分,新竹縣關西鎮台三線青山街口(附近),死亡1;受傷0,自用-小客車;普通輕型-機車
102年01月19日 22時38分,臺中市太平區長龍路二段253號前對面車道公尺數,死亡1;受傷1,普通重型-機車;普通重型-機車
102年01月20日 12時30分,高雄市彌陀區山霸煙路100號前,死亡1;受傷0,自用-小貨車;普通重型-機車
102年01月20日 13時40分,屏東縣萬丹鄉田厝村萬順路與聖賢路口(附近),死亡1;受傷0,自用-小貨車;普通重型-機車
102年01月20日 15時53分,嘉義縣東石鄉157線43.92公里處橋墩(附近),死亡2;受傷1,自用-小客車;自用-小貨車;腳踏自行車-慢車;自用-小貨車
102年01月20日 18時00分,高雄市杉林區司馬路45巷口,死亡1;受傷2,自用-小客車;普通輕型-機車;自用-小客車
102年01月21日 07時30分,彰化縣彰化市彰化縣彰化市寶山路與龍鳳谷登山步道口旁,死亡1;受傷0,普通重型-機車;營業用-曳引車
102年01月21日 15時50分,新竹縣尖石鄉嘉樂村7鄰往石上湯屋約200公尺處(附近),死亡1;受傷0,自用-小貨車
102年01月21日 22時30分,臺南市新化區知義里中興路(口)(尖峰高幹69電桿)東側20公尺處(附近)南168線1公里900公尺處東向內側車道,死亡1;受傷1,普通重型-機車;拼裝車-其他車
102年01月22日 00時54分,桃園縣龜山鄉自強西路202號(S10201239－－龜山派出所)(附近),死亡1;受傷1,普通重型-機車;行人-人
102年01月22日 07時12分,新竹縣湖口鄉中山路三段489號,死亡1;受傷0,自用-小客車;普通重型-機車
102年01月22日 12時30分,臺南市北區大興街166之3號,死亡1;受傷0,自用-小貨車;普通輕型-機車
102年01月23日 17時15分,高雄市甲仙區復興路忠孝路口,死亡1;受傷0,普通重型-機車;自用-大貨車
102年01月23日 22時30分,苗栗縣西湖鄉二湖村台1線120公里200公尺處南向外側車道,死亡1;受傷2,自用-小客車;自用-小客車;自用-小客車
102年01月24日 00時20分,高雄市岡山區嘉峰路600巷口以北100公尺處,死亡1;受傷0,普通重型-機車
102年01月24日 04時55分,桃園縣觀音鄉廣福村福山路二段分塔線樑43號前(桃35-1線)(附近),死亡1;受傷0,普通重型-機車
102年01月24日 05時30分,桃園縣龍潭鄉黃塘村成功路377巷(中興所)(附近),死亡1;受傷0,普通重型-機車
102年01月24日 10時45分,高雄市鼓山區翠華路267號前,死亡1;受傷0,行人-人;自用-大貨車
102年01月24日 11時36分,臺北市信義區信義路5段松德路(口)信義路5段 松德路,死亡1;受傷0,民營公車-大客車;普通重型-機車
102年01月24日 21時00分,新竹縣新埔鎮文山路犁與文華路口(文山路犁頭山段26號附近)(往竹北方向)(附近),死亡1;受傷0,自用-小客車;自用-小客車
102年01月24日 22時50分,桃園縣桃園市西埔里富國路822巷148號M10201631埔子所(附近),死亡1;受傷0,普通重型-機車
102年01月25日 09時00分,桃園縣觀音鄉富林村工業七路9號,死亡1;受傷0,自用-大貨車;普通重型-機車
102年01月25日 09時35分,彰化縣二林鎮彰化縣二林鎮儒林路2-3號,死亡1;受傷0,普通重型-機車;自用-小客車
102年01月25日 12時35分,屏東縣獅子鄉丹路村台9線468公里000公尺處東向外側車道,死亡1;受傷0,營業用-曳引車
102年01月25日 13時20分,嘉義縣番路鄉江西村159甲線7公里300公尺處西向中外車道,死亡1;受傷1,普通重型-機車;普通重型-機車
102年01月25日 22時30分,彰化縣芬園鄉彰化縣芬園鄉彰南路3段2號(芬園分駐所),死亡1;受傷0,普通重型-機車
102年01月26日 06時35分,彰化縣彰化市彰化縣彰化市中山路1段秀傳醫院前(民族所),死亡1;受傷1,普通重型-機車;行人-人
102年01月26日 08時05分,新北市土城區裕民路259巷前0.0公尺數口(附近),死亡1;受傷0,普通重型-機車;營業用-曳引車
102年01月26日 08時15分,彰化縣彰化市國道三號197公里100公尺處北向內側路肩車道,死亡1;受傷1,自用-小貨車;自用-小貨車
102年01月26日 19時45分,彰化縣彰化市彰化縣彰化市自強南路自強南路288巷口(中正所),死亡1;受傷0,自用-小客車;行人-人;自用-小客車
102年01月26日 20時30分,桃園縣新屋鄉大坡村東福路一段572號(桃104線6.4公里)(附近),死亡1;受傷0,自用-小客車
102年01月26日 21時00分,彰化縣埔心鄉彰化縣埔心鄉東門村員鹿路2段111號前,死亡1;受傷1,營業用-小貨車;普通重型-機車;自用-小客車
102年01月26日 23時36分,雲林縣林內鄉烏塗村瑞和101號(林內09-134號路燈旁)(附近)154線40公里100公尺處東向補助車道,死亡2;受傷1,自用-小客車;自用-小客車;自用-小客車
102年01月27日 00時45分,彰化縣和美鎮彰化縣和美鎮鹿和路5段49號前,死亡1;受傷0,自用-小客車;自用-小客車;行人-人
102年01月27日 07時20分,新北市中和區中正路前0.0公尺數連城路(口),死亡1;受傷0,自用-小客車;行人-人
102年01月27日 08時00分,臺北市中山區南京東路建國北路(口)南京東路 建國北路,死亡1;受傷0,計程車-小客車;普通重型-機車
102年01月27日 10時20分,高雄市楠梓區開發路經二路(口),死亡1;受傷1,計程車-小客車;普通重型-機車;普通重型-機車
102年01月28日 06時10分,苗栗縣頭屋鄉中山街50巷,死亡1;受傷0,普通重型-機車
102年01月28日 11時14分,苗栗縣銅鑼鄉中正路19-20號,死亡1;受傷0,行人-人;自用-小客車
102年01月28日 13時35分,臺南市東山區三榮里木柵57-7號前(附近),死亡1;受傷0,普通輕型-機車
102年01月28日 14時20分,雲林縣斗南鎮明昌里明昌路與中昌路口(斗南所)(附近),死亡1;受傷0,普通重型-機車;自用-大貨車
102年01月28日 18時54分,南投縣草屯鎮中正路權郎巷台3線201公里00公尺處南向外側車道,死亡1;受傷0,普通重型-機車;自用-小客車
102年01月28日 20時50分,臺中市梧棲區自立二街路燈33G3863HB30號前(附近),死亡1;受傷0,普通重型-機車
102年01月29日 08時50分,臺中市沙鹿區臺灣大道六段339號(附近),死亡1;受傷0,普通重型-機車
102年01月29日 09時32分,雲林縣麥寮鄉麥津里泰順與平和路口(附近),死亡1;受傷0,普通重型-機車;自用-小貨車
102年01月29日 17時33分,嘉義縣水上鄉粗溪村台1線273公里500公尺處南向中線車道,死亡1;受傷1,自用-小客車;普通重型-機車
102年01月29日 17時34分,嘉義縣水上鄉龍德村144號台1線275公里500公尺處南向外側車道,死亡1;受傷1,自用-小客車;自用-小客車;行人-人
102年01月29日 21時44分,臺北市中山區林森北路50號,死亡1;受傷0,自用-小客車;普通輕型-機車;民營客運-大客車
102年01月30日 02時52分,臺中市北區健行路962號,死亡1;受傷0,自用-小客車;自用-小客車
102年01月30日 04時00分,高雄市苓雅區建國一路高速公路東側道路口,死亡1;受傷0,普通重型-機車;自用-小客車
102年01月30日 07時30分,臺南市安南區安和路四段與總安街口(附近),死亡1;受傷0,營業用-曳引車;行人-人
102年01月30日 07時36分,臺中市大安區東西四路100號,死亡1;受傷0,普通輕型-機車;自用-小客車
102年01月30日 10時37分,宜蘭縣頭城鎮青雲路三段台2線134公里600公尺處南向內側車道,死亡1;受傷1,普通重型-機車;營業用-曳引車;普通重型-機車
102年01月30日 12時35分,雲林縣林內鄉烏塗村和興15公尺處(電桿水門18之8號前)(附近),死亡1;受傷0,拼裝車-其他車;普通重型-機車
102年01月30日 13時21分,新北市汐止區大同路609號前0.0公尺數對向(往基隆方向(附近),死亡1;受傷0,營業用-半聯結車;普通重型-機車;自用-小客車
102年01月30日 15時39分,雲林縣褒忠鄉埔姜村太湖路11號前(附近),死亡1;受傷0,普通重型-機車
102年01月30日 16時26分,臺中市霧峰區中正路四德路(口),死亡1;受傷0,營業用-大貨車;行人-人
102年01月30日 17時35分,高雄市三民區十全一路山東街口,死亡1;受傷1,自用-小客車;普通重型-機車;普通重型-機車
102年01月30日 18時30分,臺東縣關山鎮台9線333公里700公尺處北向中線車道,死亡1;受傷0,普通輕型-機車;自用-小貨車
102年01月30日 20時30分,高雄市大寮區興隆路三隆路口,死亡1;受傷1,自用-小貨車;自用-小貨車
102年01月31日 02時25分,彰化縣秀水鄉國道一號204公里900公尺處北向外側車道,死亡1;受傷0,營業用-大貨車;營業用-大貨車
102年01月31日 07時35分,桃園縣大園鄉圳頭村9鄰25之4號古亭(附近),死亡1;受傷1,普通重型-機車;普通重型-機車
102年01月31日 08時00分,彰化縣秀水鄉彰化縣秀水鄉安東村中山路258號,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車;自用-小客車
102年01月31日 21時55分,苗栗縣造橋鄉龍昇村台1線107公里500公尺處南向外側車道,死亡1;受傷0,自用-小客車
102年02月01日 02時17分,桃園縣平鎮市新貴里台66線路西向21.1公里處(附近)台66線21公里100公尺處西向外側車道,死亡1;受傷0,自用-小客車
102年02月01日 07時40分,臺南市安定區海寮里臺19線131公里100公尺處北向外側車道,死亡1;受傷0,普通重型-機車
102年02月01日 08時10分,高雄市鳳山區瑞興路中山東路口,死亡1;受傷0,自用-小客車;腳踏自行車-慢車
102年02月01日 10時22分,臺中市北區三民路106巷三民路(口),死亡1;受傷0,自用-小貨車;行人-人
102年02月01日 16時12分,臺南市佳里區鎮山里佳南路與鎮山街路口(附近),死亡1;受傷0,普通重型-機車;自用-小客車
102年02月01日 19時03分,桃園縣大溪鎮員林路三段342號,死亡1;受傷1,普通輕型-機車;行人-人
102年02月01日 20時37分,屏東縣恆春鎮墾丁里墾丁路台26線36公里800公尺處北向內側車道,死亡2;受傷0,自用-小客車;自用-小客車
102年02月01日 23時40分,桃園縣八德市介壽路二段762號,死亡1;受傷3,行人-人;普通重型-機車;行人-人;普通重型-機車
102年02月02日 00時14分,雲林縣東勢鄉嘉隆村雲113線公路(船頭26電桿)旁(附近),死亡1;受傷0,自用-小客車;行人-人
102年02月02日 03時47分,桃園縣蘆竹鄉山腳村南山北路二段和平街附近(附近),死亡1;受傷1,自用-小客車;自用-小客車
102年02月02日 05時09分,臺南市安南區安明路四段166號旁(附近),死亡2;受傷0,自用-小客車;營業用-半聯結車;營業用-半聯結車;自用-小客車
102年02月02日 07時11分,花蓮縣光復鄉台9線253公里500公尺處南向內側車道,死亡1;受傷3,自用-小客車;自用-小貨車;自用-小客車;自用-小貨車
102年02月02日 10時30分,新北市貢寮區吉林產業道路前0.0公尺數1.1公里(附近),死亡1;受傷1,普通重型-機車;普通重型-機車
102年02月02日 18時59分,宜蘭縣蘇澳鎮蘇濱路三段頂寮路(口)台2線160公里00公尺處北向中外車道,死亡1;受傷0,普通重型-機車;自用-大貨車
102年02月03日 06時15分,彰化縣埔鹽鄉彰化縣埔鹽鄉埔南村埔菜路42-28號西側45公尺處,死亡1;受傷0,租賃車-小客車
102年02月03日 18時37分,嘉義縣民雄鄉秀林村17鄰林子尾66之4號前電桿。(附近),死亡1;受傷0,普通重型-機車
102年02月03日 20時35分,高雄市楠梓區國道一號358公里0公尺處北向中線車道,死亡1;受傷1,腳踏自行車-慢車;自用-小客車
102年02月03日 23時53分,嘉義縣民雄鄉興中村嘉81線4.6公里處(附近),死亡1;受傷3,自用-小客車;自用-小貨車;自用-小客車;自用-小客車;自用-小客車;自用-小客車
102年02月04日 05時20分,臺中市豐原區西勢路西勢四街(口),死亡1;受傷1,普通重型-機車;行人-人
102年02月04日 08時20分,苗栗縣後龍鎮溪洲里下溪洲枝21分9電桿附近(附近),死亡1;受傷0,普通重型-機車
102年02月04日 09時30分,臺東縣大武鄉大鳥村台9線431公里00公尺處南向一般車道,死亡1;受傷0,普通重型-機車;營業用-半聯結車
102年02月04日 11時40分,宜蘭縣五結鄉親河路一段167號台7丙線31公里200公尺處東向外側車道,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車
102年02月04日 16時00分,南投縣草屯鎮御史里玉屏登輝路口超商往西150公尺處(附近),死亡1;受傷0,普通輕型-機車
102年02月04日 16時40分,高雄市鳳山區頂庄路鳳頂路口,死亡1;受傷0,營業用-半聯結車;行人-人
102年02月04日 18時12分,新竹縣新豐鄉瑞興村3鄰43號前產業道路往西之電線桿(標號左分18)(附近),死亡1;受傷0,自用-大貨車;普通重型-機車
102年02月04日 20時00分,臺東縣大武鄉大武村台9線435公里300公尺處南向中線車道,死亡1;受傷0,普通輕型-機車;營業用-半聯結車
102年02月04日 22時00分,新竹縣橫山鄉豐鄉村3鄰46號前50公尺數竹35-1縣道1.8K處(附近),死亡1;受傷0,自用-小貨車
102年02月05日 05時30分,高雄市仁武區鳳仁路304號前,死亡1;受傷0,營業用-半聯結車;腳踏自行車-慢車
102年02月05日 15時40分,屏東縣屏東市玉成里大成路72巷,死亡1;受傷0,普通輕型-機車;自用-小貨車;自用-小客車
102年02月05日 17時00分,屏東縣竹田鄉竹南村水源路台一線411公里800公尺處北向內側車道,死亡1;受傷0,自用-小客車
102年02月05日 17時30分,彰化縣員林鎮彰化縣員林鎮大饒里中正路2巷愛買量販店前,死亡1;受傷0,自用-小貨車;腳踏自行車-慢車
102年02月05日 19時50分,臺南市六甲區中社里臺1線298公里950公尺處南向外側車道,死亡1;受傷0,普通重型-機車
102年02月06日 05時30分,臺南市南區健康路一段173號,死亡1;受傷0,普通重型-機車
102年02月06日 06時47分,屏東縣九如鄉九如路二段成功二街口(附近)台三線429公里0公尺處南向外快車道,死亡1;受傷0,普通輕型-機車;營業用-曳引車
102年02月06日 08時40分,臺南市南區中華南路二段233巷興隆路(口),死亡1;受傷0,普通重型-機車;自用-小貨車
102年02月06日 09時16分,桃園縣大溪鎮文化路132巷文化路(口)(127號)旁(附近),死亡1;受傷0,自用-小客車;普通重型-機車
102年02月06日 10時50分,雲林縣莿桐鄉大美路(附近)台一丁線2公里7公尺處北向機車優先車道,死亡1;受傷0,普通重型-機車;自用-小貨車
102年02月06日 11時08分,新北市五股區疏洪一路前0.0公尺數0K+700處(附近),死亡1;受傷0,普通輕型-機車;自用-小貨車
102年02月06日 19時36分,嘉義縣太保市田尾里嘉49線0.7公里處溪南路口(附近),死亡1;受傷0,自用-小客車;行人-人
102年02月06日 20時05分,花蓮縣壽豐鄉共和村三農場路農墾二街(口)壽豐派出所轄(附近),死亡1;受傷1,自用-小客車;普通重型-機車
