發生時間,發生地點,死亡受傷人數,車種
104年01月01日 02時30分00秒,南投縣仁愛鄉中華路80號旁產業道路,死亡1;受傷0,自用-小客車;行人-人
104年01月01日 05時20分00秒,臺北市大安區,死亡1;受傷0,普通重型-機車
104年01月01日 06時10分00秒,臺中市北區賴福里進化北路 / 臺中市北區賴福里梅川西路,死亡1;受傷0,自用-小客車;普通重型-機車
104年01月01日 06時45分00秒,新竹縣橫山鄉中豐路二段112-2號前0.0公尺,死亡2;受傷3,租賃車-小客車;乘客-人;乘客-人;乘客-人;乘客-人
104年01月01日 06時50分00秒,基隆市七堵區明德二路前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人
104年01月01日 09時43分00秒,南投縣南投市八卦路 / 南投縣南投市八德路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
104年01月01日 10時10分00秒,屏東縣恆春鎮省北路與大埔路口,死亡1;受傷1,普通重型-機車;乘客-人
104年01月01日 13時14分00秒,屏東縣萬丹鄉南北路二段9號,死亡2;受傷0,普通重型-機車;乘客-人
104年01月01日 18時45分00秒,嘉義縣新港鄉164 23公里西向外側,死亡1;受傷0,普通重型-機車
104年01月01日 20時30分00秒,桃園市蘆竹區坑子里八德一路39-2號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小客車
104年01月02日 05時30分00秒,桃園市桃園區福林里介壽路531號前0.0公尺,死亡1;受傷0,普通重型-機車
104年01月02日 05時50分00秒,高雄市岡山區嘉新西路前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車;自用-小貨車(含客、貨兩用)
104年01月02日 06時00分00秒,高雄市大寮區光明路一段前0.0公尺,死亡1;受傷2,自用-小客車;普通重型-機車;自用-小客車;自用-小客車;乘客-人
104年01月02日 06時46分00秒,澎湖縣西嶼鄉203 27公里850.0公尺處北向外側,死亡1;受傷0,自用-小客車
104年01月02日 17時08分00秒,臺北市內湖區,死亡1;受傷2,自用-小客車;普通重型-機車;普通重型-機車;普通重型-機車
104年01月02日 20時30分00秒,新竹市東區中華路一段1巷前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
104年01月02日 20時34分00秒,臺東縣長濱鄉田組路段,死亡1;受傷0,普通重型-機車;自用-小客車
104年01月02日 21時28分00秒,臺南市山上區臺20 19公里300.0公尺處西向外側快,死亡1;受傷0,行人-人;自用-小客車
104年01月03日 09時46分00秒,臺中市西屯區西墩里福星西路 / 臺中市西屯區西墩里西墩北巷,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
104年01月03日 10時45分00秒,高雄市三民區博愛一路 / 高雄市三民區同盟一路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
104年01月03日 14時35分00秒,臺東縣台東市富岡里松江路前0.0公尺,死亡1;受傷4,自用-小客車;遊覽車-大客車;乘客-人;乘客-人;乘客-人
104年01月03日 14時50分00秒,高雄市鳥松區松藝路 / 高雄市鳥松區八德南路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
104年01月04日 15時00分00秒,高雄市大寮區琉球路 / 高雄市大寮區琉球路口,死亡1;受傷1,普通重型-機車;普通重型-機車
104年01月04日 15時40分00秒,臺南市北門區臺17線與南10線路口,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人
