發生時間,發生地點,死亡受傷人數,車種,經度,緯度,unixtime
"2021-01-01 00:05:00",臺東縣蘭嶼鄉東80線8.6公里,死亡0;受傷1,普通重型-機車,121.562208,22.054365,1609430700
"2021-01-01 00:05:20",屏東縣三地門鄉台24線21公里,死亡0;受傷1,普通重型-機車;自用-小客車,120.638018,22.709899,1609430720
"2021-01-01 00:09:00",屏東縣新園鄉興安路與新南路口,死亡0;受傷1,普通重型-機車;自用-小客車,120.460589,22.534225,1609430940
"2021-01-01 00:18:32",苗栗縣頭份市建國路二段85號前,死亡0;受傷1,自用-小客車;行人-人,120.905126,24.696833,1609431512
"2021-01-01 00:23:00","嘉義市東區長竹里大雅路2段 / 嘉義市東區長竹里潭頂路",死亡0;受傷1,自用-小客車,120.478778,23.479142,1609431780
"2021-01-01 00:30:00","臺北市大安區復興南路2段 / 臺北市大安區和平東路2段",死亡0;受傷1,普通重型-機車;自用-小客車,121.544028,25.025702,1609432200
"2021-01-01 00:30:00",高雄市鹽埕區大勇路113號前0.0公尺,死亡0;受傷1,自用-小客車;自用-小客車;普通重型-機車,120.284467,22.625194,1609432200
"2021-01-01 00:35:00","高雄市新興區中山一路 / 高雄市新興區中正三路",死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,120.301956,22.631297,1609432500
"2021-01-01 00:35:11",新竹縣橫山鄉內豐道路堤防道路,死亡0;受傷2,行人-人;普通重型-機車,121.164344,24.711100,1609432511
"2021-01-01 00:36:06",屏東縣潮州鎮中山路與中山八巷,死亡0;受傷1,普通重型-機車;自用-小客車,120.536609,22.550053,1609432566
"2021-01-01 00:37:00","彰化縣員林市南平里莒光路 / 彰化縣員林市南平里雙平路",死亡0;受傷1,自用-小貨車(含客、貨兩用);自用-小客車;乘客-人,120.544500,24.077500,1609432620
"2021-01-01 00:45:00",新北市永和區新北市永和區得和路176號,死亡0;受傷1,普通重型-機車;自用-小客車,121.519818,24.999983,1609433100
"2021-01-01 00:48:00","臺南市中西區民生綠園圓環口 / 臺南市中西區中正路口",死亡0;受傷1,普通重型-機車;普通重型-機車,120.204576,22.992504,1609433280
"2021-01-01 00:50:00","臺北市信義區吳興街 / 臺北市信義區吳興街",死亡0;受傷1,自用-小客車;普通重型-機車,121.566471,25.025775,1609433400
"2021-01-01 00:51:00","臺東縣臺東市新生路口 / 臺東縣臺東市正氣路口",死亡0;受傷1,普通重型-機車;普通重型-機車,121.143024,22.757158,1609433460
"2021-01-01 00:57:00",彰化縣田尾鄉打簾村公園路2段560號前0.0公尺,死亡0;受傷1,自用-小客車,120.533408,23.899888,1609433820
"2021-01-01 01:05:26","新竹縣湖口鄉光復路口 / 新竹縣湖口鄉工業二路口",死亡0;受傷2,自用-小客車;自用-小客車,121.022529,24.868209,1609434326
"2021-01-01 01:07:00","臺北市中山區民生東路2段 / 臺北市中山區新生北路2段",死亡0;受傷2,計程車-小客車;普通重型-機車;乘客-人,121.527786,25.058017,1609434420
"2021-01-01 01:08:00",高雄市阿蓮區復安里復安215號前0.0公尺前,死亡0;受傷1,普通重型-機車,120.339500,22.850360,1609434480
