行政區,事故,死亡,受傷
壯圍鄉,295,9,378
冬山鄉,954,6,1279
礁溪鄉,769,5,1025
宜蘭市,2502,5,3298
頭城鎮,377,5,495
五結鄉,687,4,899
三星鄉,444,3,638
蘇澳鎮,529,3,718
南澳鄉,83,2,117
羅東鎮,1532,1,2073
大同鄉,118,0,163
員山鄉,474,0,621
