行政區,事故,死亡,受傷
竹北市,4231,12,5532
新豐鄉,1011,11,1299
竹東鎮,1606,8,2126
湖口鄉,1924,7,2502
關西鎮,338,6,437
芎林鄉,386,5,488
寶山鄉,370,5,458
橫山鄉,199,2,250
新埔鎮,775,2,964
尖石鄉,81,2,105
峨眉鄉,54,1,62
五峰鄉,20,0,23
北埔鄉,103,0,124
