行政區,事故,死亡,受傷
安南區,3475,14,4487
永康區,6729,14,9378
仁德區,1756,11,2120
麻豆區,853,10,1077
安平區,1226,9,1559
東區,4477,9,6316
學甲區,260,8,308
新營區,955,8,1304
安定區,553,7,727
南區,2542,7,3218
白河區,277,7,362
善化區,1174,7,1525
中西區,3237,6,4457
歸仁區,1061,6,1267
後壁區,220,5,282
鹽水區,213,5,272
下營區,243,5,294
柳營區,243,5,313
新市,1205,5,1625
七股區,221,5,298
關廟區,334,4,394
官田區,330,4,407
西港區,410,4,521
新化區,785,4,1065
北門區,63,4,73
東山區,143,3,182
佳里區,979,3,1306
六甲區,240,3,304
北區,3417,2,4189
龍崎區,57,2,59
玉井區,106,2,133
楠西區,43,1,57
山上區,94,1,129
大內區,46,1,54
左鎮區,63,1,80
南化區,33,1,40
將軍區,130,1,148
