行政區,事故,死亡,受傷
彰化市,5793,14,7625
二林鎮,744,11,965
鹿港鎮,1912,9,2475
芳苑鄉,373,8,476
和美鎮,1452,8,1940
線西鄉,225,7,295
溪州鄉,383,7,511
埔鹽鄉,338,6,439
田尾鄉,350,6,462
福興鄉,796,6,1062
花壇鄉,989,6,1269
溪湖鎮,989,5,1240
永靖鄉,470,5,606
大城鄉,154,4,206
竹塘鄉,125,4,158
伸港鄉,444,4,578
秀水鄉,699,4,922
北斗鎮,668,3,840
芬園鄉,366,3,454
埤頭鄉,386,3,498
社頭鄉,533,3,668
田中鎮,557,2,718
大村鄉,719,2,944
員林市,2651,2,3514
埔心鄉,597,0,792
二水鄉,129,0,177
