行政區,事故,死亡,受傷
草屯鎮,2119,12,2751
埔里鎮,1421,10,1885
南投市,1953,6,2504
竹山鎮,678,6,869
魚池鄉,242,6,307
名間鄉,412,5,523
仁愛鄉,311,4,461
信義鄉,60,2,75
國姓鄉,164,2,199
水里鄉,201,2,252
鹿谷鄉,143,1,184
中寮鄉,83,1,105
集集鎮,121,1,153
