行政區,事故,死亡,受傷
太保市,732,9,968
新港鄉,493,9,640
中埔鄉,720,8,924
東石鄉,202,7,254
朴子市,716,7,930
民雄鄉,1772,7,2403
竹崎鄉,363,6,466
番路鄉,192,6,253
鹿草鄉,161,5,206
大林鎮,537,5,708
六腳鄉,281,4,399
布袋鎮,200,4,264
水上鄉,812,3,1126
義竹鄉,127,3,165
阿里山鄉,71,2,103
溪口鄉,148,2,192
梅山鄉,159,1,219
大埔鄉,38,0,41
