行政區,事故,死亡,受傷
斗六市,2726,13,3615
虎尾鎮,1985,13,2640
二崙鄉,216,9,267
斗南鎮,920,8,1138
北港鎮,767,8,1018
土庫鎮,323,7,410
西螺鎮,653,6,854
莿桐鄉,286,6,371
麥寮鄉,601,5,786
四湖鄉,180,4,229
臺西鄉,212,4,263
大埤鄉,206,3,259
元長鄉,190,3,256
古坑鄉,340,3,440
崙背鄉,202,3,260
林內鄉,189,3,248
口湖鄉,172,3,217
褒忠鄉,110,2,138
東勢鄉,139,1,182
水林鄉,208,1,270
