發生時間,發生地點,死亡受傷人數,車種
106年01月01日 02時35分00秒,臺東縣長濱鄉樟原村樟原94號旁,死亡1;受傷0,普通重型-機車
106年01月01日 02時43分00秒,新北市板橋區環河西路4段前0.0公尺,死亡1;受傷0,普通重型-機車
106年01月01日 03時35分00秒,桃園市大溪區復興路 / 桃園市大溪區文化路,死亡2;受傷0,普通重型-機車;計程車-小客車;自用-小客車;普通重型-機車;乘客-人
106年01月01日 06時09分00秒,高雄市前金區七賢二路前0.0公尺,死亡1;受傷0,普通重型-機車;行人-人
106年01月01日 06時25分00秒,新竹縣竹北市竹義街76巷前0.0公尺,死亡1;受傷0,普通重型-機車;行人-人
106年01月02日 05時50分00秒,新竹縣新埔鎮文德路三段58號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-曳引車
106年01月02日 05時53分00秒,彰化縣芳苑鄉,死亡2;受傷0,營業用-曳引車;普通重型-機車;乘客-人
106年01月02日 10時25分00秒,彰化縣溪州鄉陸軍路前0.0公尺,死亡1;受傷0,普通重型-機車
106年01月02日 14時45分00秒,宜蘭縣五結鄉利澤路 / 宜蘭縣五結鄉利澤東路,死亡1;受傷0,自用-小客車;腳踏自行車-慢車
106年01月02日 16時20分00秒,臺南市將軍區南18線6.5公里路口,死亡1;受傷0,自用-小客車;普通重型-機車
106年01月02日 18時00分00秒,花蓮縣吉安鄉宜昌村中華路二段102號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車;自用-小貨車(含客、貨兩用)
106年01月02日 22時55分00秒,高雄市苓雅區建國大順路口前0.0公尺,死亡1;受傷0,民營公車-大客車;普通輕型-機車
106年01月03日 06時18分00秒,臺南市安南區海佃路二段42號前0.0公尺,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車
106年01月03日 10時50分00秒,臺南市鹽水區南3線公路孫厝高幹128號前(1.4公里東向),死亡1;受傷1,普通重型-機車;乘客-人
106年01月03日 13時33分00秒,彰化縣鹿港鎮南勢巷 / 彰化縣鹿港鎮頂草路,死亡1;受傷1,自用-小客車;自用-小客車;乘客-人
106年01月03日 13時50分00秒,雲林縣斗六市明德北路二段43號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
106年01月03日 17時33分00秒,高雄市鳳山區博愛路97之號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車
106年01月04日 08時46分00秒,屏東縣屏東市清溪里建國路364號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車
106年01月04日 09時57分00秒,新北市五股區中興路2段83巷26號前0.0公尺,死亡1;受傷0,普通輕型-機車;自用-小客車
106年01月04日 14時20分00秒,臺北市內湖區行忠路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
106年01月04日 16時00分00秒,新竹市東區國道1號 95公里800.0公尺處北向外側路肩,死亡1;受傷0,營業用-大貨車;其他人-人;自用-大貨車;自用-小客車
106年01月04日 17時55分00秒,臺中市神岡區國道4號 13公里800.0公尺處東向外側,死亡1;受傷2,自用-小客車;自用-大貨車;自用-小客車;乘客-人
106年01月05日 08時07分00秒,雲林縣元長鄉吉明15電桿旁路口,死亡1;受傷0,普通重型-機車;自用-小客車
106年01月05日 14時52分00秒,彰化縣社頭鄉忠孝三路 / 彰化縣社頭鄉長春巷,死亡1;受傷0,自用-大貨車;普通重型-機車
106年01月05日 18時10分00秒,彰化縣芬園鄉護岸街1段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小客車
106年01月06日 06時16分00秒,新竹縣關西鎮六畜高幹25E2980AC82電桿前,死亡1;受傷1,普通重型-機車;行人-人
106年01月06日 17時17分00秒,花蓮縣花蓮市尚志路 / 花蓮縣花蓮市新興路,死亡1;受傷1,營業用-大貨車;普通重型-機車;乘客-人
106年01月07日 05時13分00秒,嘉義縣民雄鄉164線與嘉79線口,死亡1;受傷0,電動自行車-慢車;營業用-小貨車(含客、貨兩用);營業用-曳引車
106年01月07日 05時25分00秒,高雄市仁武區水管路前0.0公尺,死亡1;受傷1,普通重型-機車;營業用-曳引車;乘客-人
106年01月07日 18時55分00秒,南投縣魚池鄉131 15公里700.0公尺處南向外側,死亡1;受傷0,行人-人;自用-小客車
