2023,2,20230212,171000,A2,基隆市警察局,"基隆市中山區安一路 / 基隆市中山區西定路",晴,日間自然光線,市區道路,50,交岔路,三岔路,交叉路口,交叉口附近,柏油,乾燥,無缺陷,無障礙物,良好,良好,行車管制號誌,正常,單向禁止超車線,附標記,車道線(附標記),未繪設快慢車道分隔線,有,車與車,同向擦撞,駕駛人,起步未注意其他車(人)安全,死亡0;受傷1,1,小客車,租賃車,男,46,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,起步,其他,不明,其他,不明,駕駛人,起步未注意其他車(人)安全,否,121.725246,25.152587
2023,1,20230105,154500,A2,基隆市警察局,"基隆市中山區文化路 / 基隆市中山區文化路",晴,日間自然光線,市區道路,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,其他,其他,不明原因肇事,死亡0;受傷1,1,,,肇事逃逸尚未查獲,0,不明,不明,人的狀態,不明,其他,不明,其他,不明,其他,不明原因肇事,是,121.725246,25.152587
2023,1,20230112,070000,A2,基隆市警察局,基隆市中山區成功二路66號前0.0公尺,晴,日間自然光線,市區道路,50,交岔路,三岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,無標記,未繪設車道線,窄式快慢車道分隔島(無柵欄),有,車與車,側撞,駕駛人,未依規定讓車,死亡0;受傷1,1,機車,普通重型,男,39,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,右轉彎,機車,後車尾,機車,後車尾,駕駛人,未依規定讓車,否,121.725246,25.152587
2023,1,20230114,135000,A2,基隆市警察局,"基隆市中山區復興路 / 基隆市中山區德安路",晴,日間自然光線,市區道路,50,交岔路,多岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,行車管制號誌(附設行人專用號誌),正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,人與汽(機)車,穿越道路中,駕駛人,搶越行人穿越道,死亡0;受傷1,1,小客車,自用,男,62,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,前車頭,汽車,前車頭,駕駛人,搶越行人穿越道,否,121.725865,25.148771
