2023,1,20230115,202556,A2,花蓮縣警察局,"花蓮縣花蓮市和平路口 / 花蓮縣花蓮市南京街口",陰,夜間(或隧道、地下道、涵洞)有照明,市區道路,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,行車管制號誌,正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,車與車,側撞,駕駛人,未依規定讓車,死亡0;受傷1,1,小客車,自用,女,38,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,左轉彎,汽車,左前車頭(身),汽車,左前車頭(身),駕駛人,未依規定讓車,否,121.604112,23.973106
2023,1,20230122,154500,A2,花蓮縣警察局,花蓮縣花蓮市中華路209號前0.0公尺東側,陰,日間自然光線,市區道路,50,單路部分,直路,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,附標記,未繪設車道線,未繪設快慢車道分隔線,有,車與車,側撞,駕駛人,倒車未依規定,死亡0;受傷1,1,機車,普通輕型,女,40,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,倒車,機車,前車頭,,,駕駛人,倒車未依規定,否,121.602771,23.975444
2023,1,20230123,141318,A2,花蓮縣警察局,"花蓮縣花蓮市南京街口 / 花蓮縣花蓮市信義街口",雨,日間自然光線,市區道路,30,交岔路,四岔路,交叉路口,交叉路口內,柏油,濕潤,無缺陷,無障礙物,良好,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,路口交岔撞,駕駛人,未依規定讓車,死亡0;受傷1,1,小客車,自用,女,28,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,前車頭,,,駕駛人,未依規定讓車,否,121.604821,23.973567
2023,1,20230129,155853,A2,花蓮縣警察局,"花蓮縣花蓮市和平路口 / 花蓮縣花蓮市成功街口",晴,日間自然光線,市區道路,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,同向擦撞,駕駛人,未依規定讓車,死亡0;受傷1,1,小客車,自用,男,30,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,右轉彎,汽車,右側車身,,,駕駛人,未依規定讓車,否,121.604594,23.972495
