2023,1,20230104,070000,A2,花蓮縣警察局,"花蓮縣秀林鄉台8線 186公里700.0公尺處西側向路肩",陰,日間自然光線,省道,60,單路部分,直路,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,行車分向線,附標記,未繪設車道線,快慢車道分隔線,有,汽(機)車本身,撞橋樑、建築物,駕駛人,未注意車前狀態,死亡0;受傷1,1,小客車,自用,男,32,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,右前車頭(身),,,駕駛人,未注意車前狀態,否,121.636114,24.137132
2023,1,20230127,154900,A2,花蓮縣警察局,"花蓮縣新城鄉新城村博愛路西側 / 花蓮縣新城鄉新城村中山路北側",晴,日間自然光線,村里道路,40,交岔路,三岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,行車管制號誌(附設行人專用號誌),正常,行車分向線,附標記,車道線(附標記),未繪設快慢車道分隔線,有,車與車,同向擦撞,駕駛人,左轉彎未依規定,死亡0;受傷1,1,機車,普通重型,男,70,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,左轉彎,機車,左側車身,,,駕駛人,左轉彎未依規定,否,121.652456,24.125750
2023,1,20230130,144725,A2,花蓮縣警察局,"花蓮縣新城鄉新城村中山路口 / 花蓮縣新城鄉新城村仁愛路口",晴,日間自然光線,村里道路,30,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,單向禁止超車線,無標記,未繪設車道線,未繪設快慢車道分隔線,無,車與車,側撞,駕駛人,未依規定讓車,死亡0;受傷1,1,機車,普通重型,男,70,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,左側車身,,,駕駛人,未依規定讓車,否,121.651499,24.124914
