2023,1,20230101,192004,A2,宜蘭縣政府警察局,宜蘭縣礁溪鄉礁溪路7段72號,雨,夜間(或隧道、地下道、涵洞)有照明,市區道路,10,交岔路,四岔路,其他,行人穿越道,柏油,濕潤,無缺陷,無障礙物,不良,其他,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(附標記),未繪設快慢車道分隔線,有,人與汽(機)車,其他,駕駛人,搶越行人穿越道,死亡0;受傷1,1,小客車,自用,男,19,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,左轉彎,汽車,前車頭,,,駕駛人,搶越行人穿越道,否,121.785823,24.836460
2023,1,20230102,181600,A2,宜蘭縣政府警察局,"宜蘭縣礁溪鄉礁溪路7段口 / 宜蘭縣礁溪鄉白雲六路口",雨,夜間(或隧道、地下道、涵洞)有照明,市區道路,40,交岔路,多岔路,其他,行人穿越道,柏油,濕潤,無缺陷,無障礙物,良好,良好,行車管制號誌(附設行人專用號誌),正常,中央分向島,寛式(50公分以上),禁止變換車道線(附標記),快慢車道分隔線,有,人與汽(機)車,穿越道路中,駕駛人,搶越行人穿越道,死亡0;受傷2,1,小客車,自用,女,30,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,左轉彎,汽車,前車頭,,,駕駛人,搶越行人穿越道,否,121.785958,24.836550
2023,1,20230118,145155,A2,宜蘭縣政府警察局,"宜蘭縣礁溪鄉份尾二路口 / 宜蘭縣礁溪鄉白雲二路口",陰,日間自然光線,村里道路,30,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,附標記,未繪設車道線,未繪設快慢車道分隔線,有,車與車,路口交岔撞,駕駛人,未依規定讓車,死亡0;受傷2,1,機車,普通重型,女,29,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,右側車身,,,駕駛人,未依規定讓車,否,121.784622,24.830098
