發生時間,發生地點,死亡受傷人數,車種,經度,緯度,unixtime
"2022-01-01 00:02:00","南投縣南投市成功三路口 / 南投縣南投市南崗三路",死亡0;受傷1,自用-小客車;普通重型-機車,120.667417,23.930625,1640966520
"2022-01-01 00:11:00","高雄市三民區村大裕路 / 高雄市三民區大興街",死亡0;受傷2,普通重型-機車;自用-小客車;乘客-人,120.328611,22.653993,1640967060
"2022-01-01 00:13:00","新北市新莊區新泰路 / 新北市新莊區公園路",死亡0;受傷2,普通重型-機車;普通重型-機車,121.445345,25.041018,1640967180
"2022-01-01 00:20:00",臺南市麻豆區安業里堤防道路510505號路燈桿前路口,死亡0;受傷1,普通重型-機車;自用-小客車,120.249840,23.157471,1640967600
"2022-01-01 00:21:00","高雄市鼓山區河川街 / 高雄市鼓山區綠川街",死亡0;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.283650,22.635355,1640967660
"2022-01-01 00:23:00","新北市新店區碧潭橋道路 / 新北市新店區環河路",死亡0;受傷1,普通重型-機車;普通重型-機車;乘客-人,121.548446,24.976930,1640967780
"2022-01-01 00:24:00",雲林縣西螺鎮大橋路153巷口,死亡0;受傷2,大型重型2(250-550C.C.)-機車;行人-人;乘客-人,120.457635,23.804966,1640967840
"2022-01-01 00:25:00",新北市板橋區大同街前0.0公尺,死亡0;受傷1,普通重型-機車;自用-小客車,121.479564,25.028168,1640967900
"2022-01-01 00:26:48",嘉義縣民雄鄉興南村工業二路與工業一路口,死亡0;受傷4,自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人,120.429958,23.521965,1640968008
"2022-01-01 00:29:00",新北市永和區新北市永和區環河東路3段安全停車場前,死亡0;受傷3,普通重型-機車;乘客-人;乘客-人,121.525616,25.007763,1640968140
"2022-01-01 00:30:00","屏東縣長治鄉復興路口 / 屏東縣長治鄉復興路口",死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.531137,22.676931,1640968200
"2022-01-01 00:30:00","嘉義市東區中央里文化路 / 嘉義市東區中央里蘭井街",死亡0;受傷2,自用-小客車;行人-人;其他人-人,120.449905,23.477507,1640968200
"2022-01-01 00:31:00",新北市新莊區新樹路前0.0公尺,死亡0;受傷1,小型車-軍車;普通重型-機車,121.431108,25.014673,1640968260
"2022-01-01 00:35:00",新北市泰山區明志路3段148號前0.0公尺,死亡0;受傷2,營業用-小貨車(含客、貨兩用);普通重型-機車;乘客-人;普通重型-機車;普通重型-機車;普通重型-機車,121.424623,25.039781,1640968500
"2022-01-01 00:35:30",南投縣仁愛鄉投80線1.8公里,死亡0;受傷1,普通重型-機車,120.952657,24.062542,1640968530
"2022-01-01 00:36:00",臺中市北區賴明里中清路一段710號前0.0公尺,死亡0;受傷1,普通重型-機車;普通重型-機車,120.672840,24.168847,1640968560
"2022-01-01 00:37:00",臺北市松山區復興北路233號前0.0公尺,死亡0;受傷2,普通重型-機車;自用-小客車;乘客-人,121.544239,25.057154,1640968620
"2022-01-01 00:37:00","臺中市西屯區惠來里西屯路二段 / 臺中市西屯區惠來里西屯路二段",死亡0;受傷2,普通重型-機車;普通重型-機車,120.649291,24.168249,1640968620
"2022-01-01 00:40:00",臺中市西屯區港尾里河南路二段111號前0.0公尺,死亡0;受傷1,普通重型-機車;自用-小客車,120.655588,24.176029,1640968800
"2022-01-01 00:42:00","臺北市大安區忠孝東路3段 / 臺北市大安區建國南路1段",死亡0;受傷2,普通重型-機車;普通重型-機車,121.537449,25.041553,1640968920
"2022-01-01 00:42:00","新北市板橋區光正街 / 新北市板橋區光正街",死亡0;受傷1,普通重型-機車;普通重型-機車;乘客-人,121.461334,25.014901,1640968920
"2022-01-01 00:44:00",臺中市后里區后里里甲后路一段513號前0.0公尺,死亡0;受傷2,普通重型-機車;自用-小客車;乘客-人,120.719958,24.309234,1640969040
"2022-01-01 00:52:00","彰化縣溪州鄉溪州村俊智路 / 彰化縣溪州鄉溪州村中山路3段",死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,120.489214,23.852341,1640969520
"2022-01-01 00:55:00","臺中市南屯區新生里環中路四段 / 臺中市南屯區新生里向上路三段",死亡0;受傷1,自用-小客車;普通重型-機車,120.623141,24.145201,1640969700
"2022-01-01 00:58:00",新竹縣湖口鄉光復東路290號附近,死亡0;受傷1,普通重型-機車;自用-小客車,121.025212,24.868986,1640969880
"2022-01-01 01:00:00",基隆市安樂區基金一路346號前0.0公尺,死亡0;受傷1,普通重型-機車;計程車-小客車,121.705983,25.141953,1640970000
"2022-01-01 01:00:00","高雄市苓雅區村大順三路 / 高雄市苓雅區大順三路",死亡0;受傷2,普通重型-機車;計程車-小客車;乘客-人,120.325353,22.632413,1640970000
"2022-01-01 01:03:00","臺中市西屯區潮洋里朝富路 / 臺中市西屯區潮洋里龍門路",死亡0;受傷3,普通重型-機車;行人-人;行人-人,120.635263,24.163016,1640970180
"2022-01-01 01:05:00","高雄市左營區村翠華路 / 高雄市左營區海功東路",死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,120.302631,22.693563,1640970300
"2022-01-01 01:05:00",臺中市西屯區大鵬里長安路二段67之2號前0.0公尺,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,120.663020,24.172871,1640970300
"2022-01-01 01:06:07",臺南市官田區官田里省道台1線南下306.8公里處,死亡0;受傷1,普通重型-機車,120.339390,23.186192,1640970367
"2022-01-01 01:09:00",臺中市北屯區東山里橫坑巷117號前0.0公尺,死亡0;受傷1,普通重型-機車,120.782382,24.178286,1640970540
"2022-01-01 01:10:47",苗栗縣頭份市尖豐路758號前,死亡0;受傷1,自用-小客車;自用-小客車;自用-小客車,120.883277,24.643978,1640970647
"2022-01-01 01:14:00","高雄市岡山區村維仁路 / 高雄市岡山區成功路",死亡0;受傷1,普通重型-機車;自用-小客車,120.294592,22.799756,1640970840
"2022-01-01 01:19:25","桃園市八德區建國路口 / 桃園市八德區仁德一路口",死亡0;受傷1,普通重型-機車;自用-小客車,121.288335,24.936517,1640971165
"2022-01-01 01:20:00","臺中市北屯區平和里文心路四段MRT / 臺中市北屯區平和里麻園東街",死亡0;受傷1,自用-小客車;普通重型-機車,120.674151,24.174006,1640971200
"2022-01-01 01:21:51",南投縣草屯鎮富寮里玉屏路182之12號前,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.694882,23.983092,1640971311
"2022-01-01 01:25:00","高雄市新興區村五福二路 / 高雄市新興區忠孝一路",死亡0;受傷2,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人,120.306400,22.624720,1640971500
"2022-01-01 01:25:00","臺中市南屯區惠中里向上路一段 / 臺中市南屯區惠中里文心路一段",死亡0;受傷2,普通重型-機車;普通重型-機車;自用-小客車,120.646802,24.146809,1640971500
"2022-01-01 01:26:00",新北市三重區忠孝路2段148號前0.0公尺,死亡0;受傷1,自用-小客車;普通重型-機車,121.482526,25.068144,1640971560
"2022-01-01 01:26:00","高雄市三民區新民路 / 高雄市三民區新民路",死亡0;受傷1,普通重型-機車;普通重型-機車,120.324674,22.651019,1640971560
