2023,2,20230204,150048,A2,苗栗縣警察局,苗栗縣獅潭鄉台3線113.6K,陰,日間自然光線,省道,60,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,閃光號誌,正常,行車分向線,附標記,車道線(附標記),未繪設快慢車道分隔線,有,汽(機)車本身,撞動物,無(車輛駕駛人因素),尚未發現肇事因素,死亡0;受傷1,1,機車,大型重型2(250-550C.C.),男,36,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,前車頭,,,無(車輛駕駛人因素),尚未發現肇事因素,否,120.913478,24.524842
2023,2,20230212,102049,A2,苗栗縣警察局,苗栗縣獅潭鄉台三線106.3公里南下內線車道,晴,日間自然光線,縣道,60,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,附標記,禁止變換車道線(附標記),未繪設快慢車道分隔線,有,車與車,同向擦撞,駕駛人,迴轉未依規定,死亡0;受傷1,1,小客車,自用,女,67,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,迴轉或橫越道路中,汽車,左側車身,,,駕駛人,迴轉未依規定,否,120.913478,24.524842
2023,1,20230122,143000,A2,苗栗縣警察局,"苗栗縣獅潭鄉台3線 113公里600.0公尺處北側向外側",晴,日間自然光線,省道,60,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,追撞,駕駛人,未注意車前狀態,死亡0;受傷2,1,機車,大型重型2(250-550C.C.),男,23,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,前車頭,機車,右側車身,駕駛人,未注意車前狀態,否,120.913478,24.524842
