2023,1,20230105,175542,A2,苗栗縣警察局,苗栗縣頭份市民族路159號旁,晴,夜間(或隧道、地下道、涵洞)有照明,村里道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,道路工事(程)中,良好,良好,無號誌,無號誌,行車分向線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,同向擦撞,駕駛人,爭(搶)道行駛,死亡0;受傷1,1,機車,普通重型,男,21,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,後車尾,機車,後車尾,駕駛人,爭(搶)道行駛,否,120.903607,24.684611
2023,1,20230106,095637,A2,苗栗縣警察局,苗栗縣頭份市東興路與中正路口(下公園),陰,日間自然光線,其他,30,交岔路,多岔路,交叉路口,交叉口附近,柏油,乾燥,無缺陷,無障礙物,良好,良好,行車管制號誌,正常,行車分向線,附標記,車道線(附標記),未繪設快慢車道分隔線,有,車與車,側撞,其他,其他引起事故之違規或不當行為,死亡0;受傷1,1,機車,普通重型,女,66,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,左轉彎,機車,右側車身,,,其他,其他引起事故之違規或不當行為,否,120.905787,24.683454
2023,1,20230111,033255,A2,苗栗縣警察局,苗栗縣頭份市中華路與民族路口,雨,夜間(或隧道、地下道、涵洞)有照明,其他,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,濕潤,無缺陷,無障礙物,良好,良好,閃光號誌,正常,行車分向線,附標記,車道線(附標記),未繪設快慢車道分隔線,有,車與車,其他,其他,不明原因肇事,死亡0;受傷1,1,機車,普通重型,男,19,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,其他,不明,,,其他,不明原因肇事,否,120.905952,24.684333
2023,1,20230114,212103,A2,苗栗縣警察局,苗栗縣頭份市東民路與民族路,晴,夜間(或隧道、地下道、涵洞)有照明,市區道路,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,行車管制號誌,正常,行車分向線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,其他,駕駛人,違反號誌管制或指揮,死亡0;受傷2,1,機車,普通重型,男,18,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,右轉彎,其他,不明,其他,不明,駕駛人,違反號誌管制或指揮,否,120.903059,24.684699
2023,1,20230117,195000,A2,苗栗縣警察局,苗栗縣頭份市民族路168號,雨,夜間(或隧道、地下道、涵洞)有照明,其他,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,濕潤,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,無標記,未繪設車道線,未繪設快慢車道分隔線,有,車與車,同向擦撞,駕駛人,酒醉(後)駕駛失控,死亡0;受傷1,1,慢車,微型電動二輪車,男,43,不明,不明,車的狀態,向前直行中,其他,非汽(機)車,,,駕駛人,酒醉(後)駕駛失控,否,120.903966,24.684788
2023,1,20230120,075859,A2,苗栗縣警察局,苗栗縣頭份市和平路與和平路127巷,陰,日間自然光線,市區道路,50,交岔路,三岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,行車分向線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,其他,駕駛人,未依規定讓車,死亡0;受傷1,1,小客車,自用,男,60,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,迴轉或橫越道路中,汽車,前車頭,汽車,前車頭,駕駛人,未依規定讓車,否,120.905665,24.686051
2023,1,20230128,142659,A2,苗栗縣警察局,苗栗縣頭份市東民路與民族路口,晴,日間自然光線,其他,50,交岔路,四岔路,其他,行人穿越道,柏油,乾燥,無缺陷,無障礙物,良好,良好,行車管制號誌,正常,行車分向線,附標記,車道線(附標記),未繪設快慢車道分隔線,有,人與汽(機)車,其他,其他,其他引起事故之違規或不當行為,死亡0;受傷1,1,小客車,自用,男,42,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,右轉彎,其他,不明,,,其他,其他引起事故之違規或不當行為,否,120.903061,24.684784
2023,1,20230129,124000,A2,苗栗縣警察局,苗栗縣頭份市民族路155號前,晴,日間自然光線,市區道路,50,單路部分,直路,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,行車分向線,無標記,未繪設車道線,未繪設快慢車道分隔線,有,車與車,追撞,其他,不明原因肇事,死亡0;受傷1,1,機車,普通重型,男,70,不明,不明,車的狀態,向前直行中,機車,前車頭,,,其他,不明原因肇事,否,120.903725,24.684624
2023,1,20230130,121400,A2,苗栗縣警察局,苗栗縣頭份市東興路與二份街口,晴,日間自然光線,市區道路,50,交岔路,三岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,行車分向線,無標記,未繪設車道線,未繪設快慢車道分隔線,有,車與車,側撞,駕駛人,未依規定讓車,死亡0;受傷1,1,小客車,自用,男,34,不明,不明,車的狀態,左轉彎,汽車,右前車頭(身),,,駕駛人,未依規定讓車,否,120.905016,24.683513
