2023,2,20230204,155100,A2,南投縣政府警察局,南投縣魚池鄉日月村纜車站對面停車場入口,晴,日間自然光線,市區道路,30,交岔路,三岔路,交叉路口,交叉口附近,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,無標記,未繪設車道線,未繪設快慢車道分隔線,有,車與車,側撞,駕駛人,違規超車,死亡0;受傷1,1,機車,普通重型,女,19,不明,不明,車的狀態,左轉彎,機車,前車頭,,,駕駛人,違規超車,否,120.936059,23.851248
2023,1,20230111,081000,A2,南投縣政府警察局,南投縣魚池鄉台21甲線12.3k處,晴,日間自然光線,縣道,40,單路部分,彎曲路及附近,路段,一般車道(未劃分快慢車道),柏油,濕潤,無缺陷,無障礙物,不良,彎道,無號誌,無號誌,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,汽(機)車本身,路上翻車、摔倒,駕駛人,未注意車前狀態,死亡0;受傷1,1,機車,普通重型,男,18,不明,不明,車的狀態,左轉彎,機車,右側車身,機車,左側車身,駕駛人,未注意車前狀態,否,120.922063,23.850804
2023,1,20230120,094800,A2,南投縣政府警察局,"南投縣魚池鄉水沙連街口 / 南投縣魚池鄉義勇街口",晴,日間自然光線,村里道路,30,交岔路,三岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,人與汽(機)車,佇立路邊(外),駕駛人,倒車未依規定,死亡0;受傷1,1,小客車,自用,男,53,不明,不明,車的狀態,倒車,汽車,後車尾,,,駕駛人,倒車未依規定,否,120.930228,23.849002
2023,1,20230128,154202,A2,南投縣政府警察局,"南投縣魚池鄉瑪蓋旦街北側 / 南投縣魚池鄉山明街東側",陰,日間自然光線,村里道路,30,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,不良,坡道,無號誌,無號誌,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,路口交岔撞,駕駛人,未依規定讓車,死亡0;受傷2,1,小客車,自用,男,38,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,右側車身,汽車,右後車尾(身),駕駛人,未依規定讓車,否,120.932375,23.848124
2023,1,20230128,213625,A2,南投縣政府警察局,南投縣魚池鄉義勇街與馬蓋旦街口,晴,夜間(或隧道、地下道、涵洞)有照明,村里道路,40,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,其他,其他,其他引起事故之違規或不當行為,死亡0;受傷1,1,機車,普通重型,女,66,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,其他,機車,右側車身,,,其他,其他引起事故之違規或不當行為,否,120.931246,23.847771
