2023,2,20230212,132700,A2,南投縣政府警察局,南投縣信義鄉台21線110.5k旁,晴,日間自然光線,市區道路,40,單路部分,坡路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,無,無分向設施,車道線(附標記),未繪設快慢車道分隔線,有,車與車,對向擦撞,駕駛人,未靠右行駛,死亡0;受傷1,1,機車,大型重型1(550C.C.以上),男,42,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,機車,右側車身,,,駕駛人,未靠右行駛,否,120.874998,23.557134
2023,1,20230121,140400,A2,南投縣政府警察局,南投縣信義鄉台21線102K處,晴,日間自然光線,省道,10,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,附標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,對向擦撞,駕駛人,違反特定標誌(線)禁制,死亡0;受傷1,1,小貨車(含客、貨兩用),自用,女,26,不明,不明,車的狀態,左轉彎,汽車,前車頭,汽車,前車頭,駕駛人,違反特定標誌(線)禁制,否,120.889276,23.591483
2023,1,20230126,120500,A2,南投縣政府警察局,南投縣信義鄉同富村太平巷118號前20公尺處,晴,日間自然光線,村里道路,20,單路部分,彎曲路及附近,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,人與汽(機)車,同向通行中,駕駛人,未注意車前狀態,死亡0;受傷1,1,小客車,自用,男,60,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,右前車頭(身),,,駕駛人,未注意車前狀態,否,120.869169,23.547200
