區域,2021/06,2020/06,差異
全國,1490,1509,-19
高雄市,177,180,-3
臺南市,172,147,25
臺中市,151,169,-18
新北市,123,113,10
桃園市,123,143,-20
屏東縣,90,107,-17
彰化縣,89,100,-11
雲林縣,82,82,0
臺北市,66,54,12
嘉義縣,64,64,0
苗栗縣,60,47,13
宜蘭縣,58,44,14
國道,44,23,21
新竹縣,42,47,-5
南投縣,41,44,-3
花蓮縣,30,39,-9
臺東縣,25,36,-11
新竹市,19,31,-12
基隆市,12,10,2
嘉義市,8,14,-6
其他,7,6,1
澎湖縣,6,5,1
金門縣,1,4,-3
連江縣,0,0,0
