發生時間,發生地點,死亡受傷人數,車種
105年01月01日 02時45分00秒,彰化縣鹿港鎮鹿工北三路 / 彰化縣鹿港鎮工業西七路,死亡1;受傷1,自用-小客車;乘客-人
105年01月01日 04時37分00秒,宜蘭縣員山鄉金山東路397號前0.0公尺,死亡1;受傷0,普通重型-機車
105年01月01日 05時15分00秒,屏東縣萬巒鄉萬和村南進路1之9號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車
105年01月01日 05時50分00秒,屏東縣屏東市香揚巷1-20號,死亡1;受傷0,自用-小客車;行人-人
105年01月01日 05時56分00秒,彰化縣員林市萬年路1段 / 彰化縣員林市員集路2段,死亡1;受傷0,普通重型-機車;營業用-半聯結車
105年01月01日 07時23分00秒,臺南市白河區南89 4公里100.0公尺處南向外側,死亡1;受傷0,普通重型-機車;自用-大貨車
105年01月01日 08時19分00秒,臺南市玉井區臺3 371公里500.0公尺處南向慢,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
105年01月01日 12時05分00秒,桃園市新屋區下田里龍莊路172號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
105年01月01日 16時40分00秒,南投縣南投市防汛道路上(南投市路燈編號19196號處),死亡1;受傷1,普通重型-機車;腳踏自行車-慢車
105年01月01日 17時54分00秒,臺南市北區小東路前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車
105年01月01日 23時15分00秒,臺東縣卑南鄉台9 360公里600.0公尺處南向外側,死亡1;受傷0,普通重型-機車
105年01月02日 05時45分00秒,高雄市岡山區嘉興路641號前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);乘客-人
105年01月02日 15時33分00秒,臺中市龍井區山腳里中山二路二段前0.0公尺,死亡1;受傷0,普通重型-機車
105年01月02日 18時09分00秒,雲林縣莿桐鄉埔尾村油車路前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
105年01月02日 18時20分00秒,臺南市善化區國道3號 343公里北向內側,死亡1;受傷1,普通重型-機車;自用-小客車
105年01月03日 03時10分00秒,高雄市前鎮區班超路前0.0公尺,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人
105年01月03日 06時24分00秒,臺南市新營區太子宮146之28號前,死亡1;受傷1,行人-人;普通重型-機車
105年01月04日 12時05分00秒,嘉義縣民雄鄉國道1號 259公里250.0公尺處北向外側,死亡1;受傷0,營業用-半聯結車;營業用-半聯結車
105年01月05日 11時28分00秒,彰化縣彰化市國道1號 192公里100.0公尺處南向內側,死亡1;受傷3,自用-小客車;自用-小客車;乘客-人;乘客-人
105年01月05日 14時46分00秒,屏東縣潮州鎮晉江路1號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
105年01月05日 19時52分00秒,新竹縣橫山鄉中豐路二段269號前路口,死亡1;受傷0,自用-小客車;行人-人
105年01月05日 19時58分00秒,嘉義縣布袋鎮台17 125公里921.0公尺處北向外側,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通輕型-機車
105年01月05日 20時25分00秒,苗栗縣頭份市尖豐路721號前,死亡1;受傷1,普通重型-機車;普通重型-機車
105年01月05日 23時18分00秒,雲林縣莿桐鄉延平路223號前0.0公尺,死亡2;受傷0,自用-小客車;乘客-人
105年01月06日 07時24分00秒,臺中市沙鹿區六路里平等路 / 臺中市沙鹿區六路里平等五街,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小貨車(含客、貨兩用)
105年01月06日 13時22分00秒,臺南市北區北安路一段241號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
105年01月06日 15時50分00秒,高雄市前金區中華三路前0.0公尺,死亡1;受傷0,自用-大貨車;行人-人
105年01月06日 19時00分00秒,高雄市橋頭區甲樹路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
105年01月06日 20時00分00秒,臺南市安南區長和路二段12巷213弄前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
105年01月06日 20時10分00秒,新北市三重區三和路4段32巷前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-曳引車
105年01月07日 04時42分00秒,宜蘭縣冬山鄉冬山路三段 / 宜蘭縣冬山鄉冬山路三段,死亡1;受傷0,人力車-慢車;自用-小貨車(含客、貨兩用)
105年01月07日 08時46分00秒,雲林縣斗六市國道3號 262公里100.0公尺處北向外側,死亡1;受傷0,自用-大貨車;其他人-人;自用-大貨車
105年01月07日 17時45分00秒,高雄市左營區崇德路前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
105年01月07日 21時40分00秒,南投縣埔里鎮向善里中山路四段前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人
105年01月08日 02時08分00秒,臺中市西屯區潮洋里臺灣大道前0.0公尺,死亡1;受傷0,普通重型-機車
105年01月08日 04時20分00秒,屏東縣枋寮鄉中正大路前0.0公尺,死亡1;受傷0,自用-大貨車
105年01月08日 05時28分00秒,高雄市小港區沿海一路前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
105年01月08日 06時14分00秒,臺中市北屯區新平里中清路二段365號前0.0公尺,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用)
105年01月08日 07時50分00秒,雲林縣斗南鎮大東148之2號(新崙所轄),死亡1;受傷0,普通重型-機車;自用-小客車
105年01月08日 09時20分00秒,苗栗縣南庄鄉中正路與民生街口,死亡1;受傷0,自用-小客車;行人-人
