week,a1,a2
202101,0,4
202102,0,8
202103,0,3
202104,0,3
202105,0,4
202106,0,1
202107,0,2
202108,0,5
202109,0,3
202110,0,1
202111,0,7
202112,0,8
202113,0,3
202114,0,2
202115,0,4
202116,1,6
202117,0,3
202118,0,3
202119,0,6
202120,0,4
202121,0,3
202122,0,1
202123,0,3
202124,0,4
202125,0,2
202126,0,2
