week,a1,a2
202053,0,2
202101,0,3
202102,0,3
202103,0,4
202104,0,3
202105,0,3
202107,0,4
202108,0,3
202109,0,1
202110,0,7
202111,0,5
202112,0,1
202113,1,2
202114,0,1
202115,0,4
202116,0,3
202117,0,6
202118,0,2
202119,0,3
202120,0,4
202121,0,6
202122,0,2
202123,0,1
202124,0,1
