2023,2,20230206,121800,A2,澎湖縣政府警察局,"澎湖縣湖西鄉縣204線 6公里700.0公尺處口",晴,日間自然光線,縣道,30,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,側撞,駕駛人,未依規定讓車,死亡0;受傷1,1,小客車,自用,男,38,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,左轉彎,汽車,左前車頭(身),,,駕駛人,未依規定讓車,否,119.634500,23.560582
2023,1,20230118,184800,A2,澎湖縣政府警察局,"澎湖縣湖西鄉縣204線 6公里700.0公尺處口",晴,夜間(或隧道、地下道、涵洞)有照明,縣道,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,其他,駕駛人,起步未注意其他車(人)安全,死亡0;受傷1,1,小客車,自用,男,21,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,起步,汽車,左前車頭(身),,,駕駛人,起步未注意其他車(人)安全,否,119.634506,23.560612
2023,1,20230128,154100,A2,澎湖縣政府警察局,"澎湖縣馬公市縣204線 6公里50.0公尺處東側向內側",晴,日間自然光線,縣道,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,雙向禁止超車線,附標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,追撞,駕駛人,未保持行車安全距離,死亡0;受傷2,1,小客車,自用,男,40,戴安全帽或繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,前車頭,汽車,後車尾,駕駛人,未保持行車安全距離,否,119.629989,23.556668
