week,a1,a2
202101,0,3
202102,0,1
202106,0,1
202107,0,2
202109,0,1
202111,0,3
202112,0,1
202113,0,3
202114,0,2
202115,0,5
202116,0,2
202117,0,2
202119,0,2
202120,0,1
202121,0,2
