2023,2,20230210,110008,A2,嘉義縣警察局,"嘉義縣鹿草鄉台82線 15公里東側",晴,日間自然光線,省道,100,交岔路,三岔路,交流道,直線匝道,柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,有,汽(機)車本身,撞交通島,駕駛人,未注意車前狀態,死亡0;受傷3,1,小客車,自用,女,53,不明,不明,車的狀態,向前直行中,汽車,後車尾,,,駕駛人,未注意車前狀態,否,120.286330,23.440597
2023,1,20230116,133900,A2,嘉義縣警察局,嘉義縣鹿草鄉豊稠村台82線東向14.3公里處,晴,日間自然光線,其他,100,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,良好,良好,無號誌,無號誌,中央分向島,寛式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,有,車與車,同向擦撞,駕駛人,未注意車前狀態,死亡0;受傷2,1,大貨車,營業用,男,50,不明,不明,車的狀態,向前直行中,汽車,右側車身,,,駕駛人,未注意車前狀態,否,120.285281,23.441709
2023,1,20230129,161851,A2,嘉義縣警察局,嘉義縣鹿草鄉豐稠村111364號燈桿旁路段,晴,日間自然光線,縣道,50,單路部分,直路,路段,路肩、路緣,柏油,乾燥,無缺陷,其他障礙物,良好,良好,無號誌,無號誌,行車分向線,無標記,未繪設車道線,未繪設快慢車道分隔線,有,汽(機)車本身,其他,駕駛人,未注意車前狀態,死亡0;受傷1,1,慢車,腳踏自行車,女,71,不明,不明,車的狀態,向前直行中,其他,非汽(機)車,其他,非汽(機)車,駕駛人,未注意車前狀態,否,120.274968,23.439437
